date,team,metric,value
2026-05-01,alpha,latency_ms,120
2026-05-02,alpha,latency_ms,135
2026-05-03,alpha,latency_ms,128
2026-05-04,alpha,latency_ms,150
2026-05-05,alpha,latency_ms,142
2026-05-06,alpha,latency_ms,160
2026-05-07,alpha,latency_ms,155
2026-05-01,beta,latency_ms,90
2026-05-02,beta,latency_ms,95
2026-05-03,beta,latency_ms,92
2026-05-01,alpha,error_rate,0.010
2026-05-02,alpha,error_rate,0.015
2026-05-03,alpha,error_rate,0.012
2026-05-04,alpha,error_rate,0.018
2026-05-05,alpha,error_rate,0.016
2026-05-06,alpha,error_rate,0.020
2026-05-07,alpha,error_rate,0.017
